TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
api_key_usage_log	id	bigint	NO	NULL	PRI	auto_increment
api_key_usage_log	api_key_id	bigint	NO	NULL	MUL	
api_key_usage_log	endpoint	varchar	NO	NULL		
api_key_usage_log	method	varchar	NO	NULL		
api_key_usage_log	response_status	int	NO	NULL		
api_key_usage_log	ip_address	varchar	YES	NULL		
api_key_usage_log	user_agent	varchar	YES	NULL		
api_key_usage_log	requested_at	timestamp	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
api_keys	id	bigint	NO	NULL	PRI	auto_increment
api_keys	merchant_id	bigint	NO	NULL	MUL	
api_keys	key_value	varchar	NO	NULL	UNI	
api_keys	secret_hash	varchar	NO	NULL		
api_keys	name	varchar	NO	NULL		
api_keys	scopes	varchar	YES	NULL		
api_keys	rate_limit	int	NO	100		
api_keys	is_active	tinyint	NO	1	MUL	
api_keys	last_used_at	timestamp	YES	NULL		
api_keys	request_count	bigint	NO	0		
api_keys	expires_at	timestamp	YES	NULL		
api_keys	created_at	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
assignment_rules	id	bigint	NO	NULL	PRI	auto_increment
assignment_rules	rule_key	varchar	NO	NULL	UNI	
assignment_rules	rule_value	varchar	NO	NULL		
assignment_rules	description	varchar	YES	NULL		
assignment_rules	is_active	tinyint	NO	1	MUL	
assignment_rules	created_at	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
assignment_rules	updated_at	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP
assignment_scores	id	bigint	NO	NULL	PRI	auto_increment
assignment_scores	shipment_id	bigint	NO	NULL	MUL	
assignment_scores	courier_id	bigint	NO	NULL	MUL	
assignment_scores	total_score	double	NO	NULL		
assignment_scores	distance_score	double	YES	0		
assignment_scores	load_score	double	YES	0		
assignment_scores	rating_score	double	YES	0		
assignment_scores	zone_score	double	YES	0		
assignment_scores	vehicle_score	double	YES	0		
assignment_scores	history_score	double	YES	0		
assignment_scores	calculated_at	timestamp	NO	CURRENT_TIMESTAMP	MUL	DEFAULT_GENERATED
cash_movement_ledger	amount	decimal	NO	NULL		
cash_movement_ledger	immutable	bit	NO	NULL		
cash_movement_ledger	created_at	datetime	NO	NULL		
cash_movement_ledger	id	bigint	NO	NULL	PRI	auto_increment
cash_movement_ledger	reconciled_at	datetime	YES	NULL		
cash_movement_ledger	shipment_id	bigint	YES	NULL		
cash_movement_ledger	user_id	bigint	NO	NULL	MUL	
cash_movement_ledger	description	varchar	YES	NULL		
cash_movement_ledger	status	enum	NO	NULL		
cash_movement_ledger	transaction_type	enum	NO	NULL		
contract_sla_terms	id	bigint	NO	NULL	PRI	auto_increment
contract_sla_terms	contract_id	bigint	NO	NULL	UNI	
contract_sla_terms	target_delivery_rate	double	NO	95		
contract_sla_terms	max_delivery_hours	int	NO	48		
contract_sla_terms	late_penalty_per_shipment	decimal	NO	0.00		
contract_sla_terms	lost_penalty_fixed	decimal	NO	0.00		
contract_sla_terms	sla_review_period	varchar	NO	MONTHLY		
