TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE
api_key_usage_log	fk_usage_apikey	FOREIGN KEY
api_keys	fk_apikey_merchant	FOREIGN KEY
assignment_scores	fk_score_courier	FOREIGN KEY
assignment_scores	fk_score_shipment	FOREIGN KEY
cash_movement_ledger	FKf6h5kwh0pped8m6ah6p2vuujg	FOREIGN KEY
contract_sla_terms	fk_sla_contract	FOREIGN KEY
contracts	fk_contract_creator	FOREIGN KEY
contracts	fk_contract_party	FOREIGN KEY
courier_details	FK905cmqg0jyjl9flxb0frybgxd	FOREIGN KEY
courier_location_history	FKjq8xpx9f0cins4g4k7c1380n2	FOREIGN KEY
courier_ratings	fk_cr_courier	FOREIGN KEY
courier_ratings	fk_cr_shipment	FOREIGN KEY
courier_zones	FK71b6qxpipeucfh192pabyexjt	FOREIGN KEY
courier_zones	FKfpk8akhi42bq44k7j1j5l69ls	FOREIGN KEY
custom_pricing_rules	fk_pricing_contract	FOREIGN KEY
custom_pricing_rules	fk_pricing_zone_from	FOREIGN KEY
custom_pricing_rules	fk_pricing_zone_to	FOREIGN KEY
delivery_attempts	fk_da_courier	FOREIGN KEY
delivery_attempts	fk_da_shipment	FOREIGN KEY
delivery_pricing	FK8yg8ttl47yf335evd9vp50fjx	FOREIGN KEY
delivery_pricing	FKolqmkv2n1thecrb3y9pd2ran7	FOREIGN KEY
delivery_proofs	fk_dp_captured_by	FOREIGN KEY
delivery_proofs	fk_dp_shipment	FOREIGN KEY
device_tokens	fk_dt_user	FOREIGN KEY
e_invoices	fk_einvoice_invoice	FOREIGN KEY
ecommerce_connections	fk_econn_merchant	FOREIGN KEY
ecommerce_connections	fk_econn_zone	FOREIGN KEY
ecommerce_orders	fk_eorder_connection	FOREIGN KEY
ecommerce_orders	fk_eorder_shipment	FOREIGN KEY
fuel_logs	fk_fl_courier	FOREIGN KEY
fuel_logs	fk_fl_vehicle	FOREIGN KEY
invoice_items	fk_ii_invoice	FOREIGN KEY
invoices	fk_inv_subscription	FOREIGN KEY
knowledge_articles	fk_article_author	FOREIGN KEY
merchant_details	FKe3tj0gtbb50ercpeyex8vqvbo	FOREIGN KEY
merchant_service_feedback	FKfe9ie1furxtoj9avkh0bx5ryl	FOREIGN KEY
merchant_service_feedback	FKjcay4maveu0hgly5m7vw5v0r2	FOREIGN KEY
merchant_service_feedback	FKny7g0qu4i47vj4ohe6dvylb1j	FOREIGN KEY
merchant_subscriptions	fk_ms_merchant	FOREIGN KEY
merchant_subscriptions	fk_ms_plan	FOREIGN KEY
merchant_zone_pricing	FKjixpukflu7tbaa7j23m8s7c7d	FOREIGN KEY
merchant_zone_pricing	FKm8dhktbyf46nj2b7hh3n58ygo	FOREIGN KEY
notification_delivery_log	fk_ndl_notification	FOREIGN KEY
notification_preferences	fk_np_user	FOREIGN KEY
optimized_routes	fk_route_courier	FOREIGN KEY
optimized_routes	fk_route_manifest	FOREIGN KEY
payout_items	FK5vows29lpnh53pbsvafjngear	FOREIGN KEY
payouts	FKh29huk0car81wx59yd3sbh8ly	FOREIGN KEY
payouts	FKne3mnfd1rxm850h3d9jnei472	FOREIGN KEY
payouts	FK_payout_status_ref	FOREIGN KEY
payouts	FK_payout_user	FOREIGN KEY
pickup_schedules	fk_ps_courier	FOREIGN KEY
pickup_schedules	fk_ps_merchant	FOREIGN KEY
return_shipments	FKasliwukytvyf7vx51ogfxg7rb	FOREIGN KEY
return_shipments	FKpflit90nnw9r1weh4bh8kxl5p	FOREIGN KEY
return_shipments	FK_rs_assigned_courier	FOREIGN KEY
service_feedback	FKem13okj7mrxx7tuac1euqy85g	FOREIGN KEY
shipment_manifests	FKjx7wj4nkrkunm7x2i8hbt2btc	FOREIGN KEY
shipment_manifests	FK_man_courier	FOREIGN KEY
shipment_package_details	FKdoo1yecwn5tljygh3h8tq8mm6	FOREIGN KEY
shipment_status_history	FKa2dbav82mfg18orsuwy8v99yk	FOREIGN KEY
shipment_status_history	FKi5ap20u9ooy5jwejvvf3yla9w	FOREIGN KEY
shipments	FK192ydrywlg92049eu1fty47f7	FOREIGN KEY
shipments	FK3cb1s0jwuu3r6v9x9x039me1q	FOREIGN KEY
shipments	FK6bxqn1j8s3c8pm8rgh85bqmos	FOREIGN KEY
shipments	FKg5sowhtov2higmb1dvjurk733	FOREIGN KEY
shipments	FKi2xjn3j4m9tu98t4mrwl7smmt	FOREIGN KEY
shipments	FKq1cwbqfso579eq3xwhh20expn	FOREIGN KEY
shipments	FK_ship_manifest	FOREIGN KEY
shipments	FK_ship_merchant	FOREIGN KEY
shipments	FK_ship_payout	FOREIGN KEY
shipments	FK_ship_recipient	FOREIGN KEY
shipments	FK_ship_status	FOREIGN KEY
shipments	FK_ship_zone	FOREIGN KEY
support_tickets	fk_ticket_assignee	FOREIGN KEY
support_tickets	fk_ticket_reporter	FOREIGN KEY
support_tickets	fk_ticket_shipment	FOREIGN KEY
ticket_messages	fk_message_sender	FOREIGN KEY
ticket_messages	fk_message_ticket	FOREIGN KEY
users	FK1lqs7qsjk62rrrt1rogyasqaf	FOREIGN KEY
users	FKp56c1712k691lhsyewcssf40f	FOREIGN KEY
users	FK_user_role	FOREIGN KEY
users	FK_user_status	FOREIGN KEY
vehicle_assignments	fk_va_courier	FOREIGN KEY
vehicle_assignments	fk_va_vehicle	FOREIGN KEY
vehicle_maintenance	fk_vm_vehicle	FOREIGN KEY
wallet_transactions	fk_wt_wallet	FOREIGN KEY
wallets	fk_wallet_user	FOREIGN KEY
warehouse_inventory	FKdo1ve67ajnd34qe2cn8cprpf2	FOREIGN KEY
warehouse_inventory	FKg41ufrq80pp4il2vlme35r26n	FOREIGN KEY
warehouse_inventory	FKmvvsk9pk1tigiad6af0ext4jy	FOREIGN KEY
webhook_events	fk_we_subscription	FOREIGN KEY
webhook_subscriptions	fk_ws_merchant	FOREIGN KEY
