TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE
api_key_usage_log	idx_usage_apikey	api_key_id	1
api_key_usage_log	idx_usage_requested	requested_at	1
api_key_usage_log	PRIMARY	id	0
api_keys	idx_apikey_active	is_active	1
api_keys	idx_apikey_merchant	merchant_id	1
api_keys	idx_apikey_value	key_value	1
api_keys	key_value	key_value	0
api_keys	PRIMARY	id	0
assignment_rules	idx_rule_active	is_active	1
assignment_rules	PRIMARY	id	0
assignment_rules	uk_rule_key	rule_key	0
assignment_scores	idx_score_calculated	calculated_at	1
assignment_scores	idx_score_courier	courier_id	1
assignment_scores	idx_score_shipment	shipment_id	1
assignment_scores	PRIMARY	id	0
cash_movement_ledger	FKf6h5kwh0pped8m6ah6p2vuujg	user_id	1
cash_movement_ledger	PRIMARY	id	0
contract_sla_terms	contract_id	contract_id	0
contract_sla_terms	idx_sla_contract	contract_id	1
contract_sla_terms	PRIMARY	id	0
contracts	contract_number	contract_number	0
contracts	fk_contract_creator	created_by	1
contracts	idx_contracts_end_date	end_date	1
contracts	idx_contracts_number	contract_number	1
contracts	idx_contracts_party	party_id	1
contracts	idx_contracts_status	status	1
contracts	PRIMARY	id	0
countries	code	code	0
countries	idx_country_active	is_active	1
countries	PRIMARY	id	0
courier_details	PRIMARY	user_id	0
courier_location_history	idx_clh_courier	courier_id	1
courier_location_history	idx_clh_courier_timestamp	courier_id	1
courier_location_history	idx_clh_courier_timestamp	timestamp	1
courier_location_history	PRIMARY	id	0
courier_ratings	idx_cr_courier	courier_id	1
courier_ratings	idx_cr_created	created_at	1
courier_ratings	idx_cr_shipment	shipment_id	1
courier_ratings	PRIMARY	id	0
courier_zones	FK71b6qxpipeucfh192pabyexjt	zone_id	1
courier_zones	PRIMARY	courier_id	0
courier_zones	PRIMARY	zone_id	0
currencies	code	code	0
currencies	idx_currency_active	is_active	1
currencies	PRIMARY	id	0
custom_pricing_rules	fk_pricing_zone_to	zone_to_id	1
custom_pricing_rules	idx_pricing_contract	contract_id	1
custom_pricing_rules	idx_pricing_zones	zone_from_id	1
custom_pricing_rules	idx_pricing_zones	zone_to_id	1
custom_pricing_rules	PRIMARY	id	0
delivery_attempts	idx_da_attempted_at	attempted_at	1
delivery_attempts	idx_da_courier	courier_id	1
delivery_attempts	idx_da_shipment	shipment_id	1
delivery_attempts	PRIMARY	id	0
delivery_attempts	uk_da_shipment_attempt	shipment_id	0
delivery_attempts	uk_da_shipment_attempt	attempt_number	0
delivery_pricing	FK_dp_zone	zone_id	1
delivery_pricing	PRIMARY	id	0
delivery_pricing	unique_merchant_zone	merchant_id	0
delivery_pricing	unique_merchant_zone	zone_id	0
delivery_proofs	idx_dp_captured_by	captured_by_user_id	1
delivery_proofs	PRIMARY	id	0
delivery_proofs	uk_dp_shipment	shipment_id	0
device_tokens	idx_dt_active	is_active	1
device_tokens	idx_dt_user	user_id	1
device_tokens	PRIMARY	id	0
device_tokens	uk_dt_token	token	0
e_invoices	idx_einvoice_country	country_code	1
e_invoices	idx_einvoice_status	status	1
e_invoices	invoice_id	invoice_id	0
e_invoices	PRIMARY	id	0
e_invoices	serial_number	serial_number	0
ecommerce_connections	fk_econn_zone	default_zone_id	1
ecommerce_connections	idx_econn_active	is_active	1
ecommerce_connections	idx_econn_merchant	merchant_id	1
ecommerce_connections	idx_econn_platform	platform	1
ecommerce_connections	PRIMARY	id	0
ecommerce_connections	uq_merchant_platform	merchant_id	0
ecommerce_connections	uq_merchant_platform	platform	0
ecommerce_orders	fk_eorder_shipment	shipment_id	1
ecommerce_orders	idx_eorder_connection	connection_id	1
ecommerce_orders	idx_eorder_external	external_order_id	1
ecommerce_orders	idx_eorder_external	platform	1
ecommerce_orders	idx_eorder_status	status	1
ecommerce_orders	PRIMARY	id	0
exchange_rates	idx_exchange_rate_date	effective_date	1
exchange_rates	idx_exchange_rate_pair	base_currency	1
exchange_rates	idx_exchange_rate_pair	target_currency	1
exchange_rates	PRIMARY	id	0
fraud_blacklist	PRIMARY	id	0
fuel_logs	fk_fl_courier	courier_id	1
fuel_logs	idx_fl_date	fuel_date	1
fuel_logs	idx_fl_vehicle	vehicle_id	1
fuel_logs	PRIMARY	id	0
invoice_items	fk_ii_invoice	invoice_id	1
invoice_items	PRIMARY	id	0
invoices	idx_inv_due_date	due_date	1
invoices	idx_inv_number	invoice_number	1
invoices	idx_inv_status	status	1
invoices	idx_inv_subscription	subscription_id	1
invoices	invoice_number	invoice_number	0
invoices	PRIMARY	id	0
knowledge_articles	fk_article_author	author_id	1
knowledge_articles	idx_article_category	category	1
knowledge_articles	idx_article_published	published	1
knowledge_articles	PRIMARY	id	0
kpi_snapshots	idx_kpi_snapshots_date	snapshot_date	1
kpi_snapshots	PRIMARY	id	0
kpi_snapshots	snapshot_date	snapshot_date	0
merchant_details	PRIMARY	user_id	0
merchant_service_feedback	FKfe9ie1furxtoj9avkh0bx5ryl	courier_id	1
merchant_service_feedback	FKjcay4maveu0hgly5m7vw5v0r2	related_shipment_id	1
merchant_service_feedback	FKny7g0qu4i47vj4ohe6dvylb1j	merchant_id	1
merchant_service_feedback	PRIMARY	id	0
merchant_subscriptions	fk_ms_plan	plan_id	1
merchant_subscriptions	idx_ms_merchant	merchant_id	1
merchant_subscriptions	idx_ms_period_end	current_period_end	1
merchant_subscriptions	idx_ms_status	status	1
merchant_subscriptions	PRIMARY	id	0
